SignalID,Timestamp,EventCode,EventParam
63082004,2023-03-13 23:08:54.0000000,10,8
63082004,2023-03-13 23:08:55.0000000,1,2
63082004,2023-03-13 23:08:55.0000000,1,6
63082004,2023-03-13 23:09:22.0000000,8,2
63082004,2023-03-13 23:09:22.0000000,8,6
63082004,2023-03-13 23:09:27.0000000,10,2
63082004,2023-03-13 23:09:27.0000000,10,6
63082004,2023-03-13 23:09:29.0000000,1,4
63082004,2023-03-13 23:09:29.0000000,1,7
63082004,2023-03-13 23:09:39.0000000,8,7
63082004,2023-03-13 23:09:42.0000000,10,7
63082004,2023-03-13 23:09:43.0000000,1,8
63082004,2023-03-13 23:09:54.0000000,8,4
63082004,2023-03-13 23:09:54.0000000,8,8
63082004,2023-03-13 23:09:57.0000000,10,4
63082004,2023-03-13 23:09:57.0000000,10,8
63082004,2023-03-13 23:09:58.0000000,1,2
63082004,2023-03-13 23:09:58.0000000,1,6
63082004,2023-03-13 23:10:24.0000000,8,2
63082004,2023-03-13 23:10:24.0000000,8,6
63082004,2023-03-13 23:10:28.0000000,10,2
63082004,2023-03-13 23:10:28.0000000,10,6
63082004,2023-03-13 23:10:30.0000000,1,3
63082004,2023-03-13 23:10:30.0000000,1,8
63082004,2023-03-13 23:10:40.0000000,8,3
63082004,2023-03-13 23:10:40.0000000,8,8
63082004,2023-03-13 23:10:44.0000000,10,3
63082004,2023-03-13 23:10:44.0000000,10,8
63082004,2023-03-13 23:10:45.0000000,1,2
63082004,2023-03-13 23:10:45.0000000,1,6
63082004,2023-03-13 23:11:34.0000000,8,2
63082004,2023-03-13 23:11:34.0000000,8,6
63082004,2023-03-13 23:11:38.0000000,10,2
63082004,2023-03-13 23:11:38.0000000,10,6
63082004,2023-03-13 23:11:40.0000000,1,3
63082004,2023-03-13 23:11:40.0000000,1,8
63082004,2023-03-13 23:11:50.0000000,8,3
63082004,2023-03-13 23:11:50.0000000,8,8
63082004,2023-03-13 23:11:54.0000000,10,3
63082004,2023-03-13 23:11:54.0000000,10,8
63082004,2023-03-13 23:11:55.0000000,1,2
63082004,2023-03-13 23:11:55.0000000,1,6
63082004,2023-03-13 23:14:06.0000000,8,2
63082004,2023-03-13 23:14:06.0000000,8,6
63082004,2023-03-13 23:14:10.0000000,10,2
63082004,2023-03-13 23:14:10.0000000,10,6
63082004,2023-03-13 23:14:12.0000000,1,4
63082004,2023-03-13 23:14:12.0000000,1,8
63082004,2023-03-13 23:14:26.0000000,8,4
63082004,2023-03-13 23:14:26.0000000,8,8
63082004,2023-03-13 23:14:29.0000000,10,4
63082004,2023-03-13 23:14:29.0000000,10,8
63082004,2023-03-13 23:14:30.0000000,1,2
63082004,2023-03-13 23:14:30.0000000,1,6
63082004,2023-03-13 23:15:07.0000000,8,2
63082004,2023-03-13 23:15:07.0000000,8,6
63082004,2023-03-13 23:15:11.0000000,10,2
63082004,2023-03-13 23:15:11.0000000,10,6
63082004,2023-03-13 23:15:13.0000000,1,3
63082004,2023-03-13 23:15:13.0000000,1,8
63082004,2023-03-13 23:15:23.0000000,8,3
63082004,2023-03-13 23:15:23.0000000,8,8
63082004,2023-03-13 23:15:27.0000000,10,3
63082004,2023-03-13 23:15:27.0000000,10,8
63082004,2023-03-13 23:15:28.0000000,1,2
63082004,2023-03-13 23:15:28.0000000,1,6
63082004,2023-03-13 23:15:53.0000000,8,2
63082004,2023-03-13 23:15:53.0000000,8,6
63082004,2023-03-13 23:15:57.0000000,10,2
63082004,2023-03-13 23:15:57.0000000,10,6
63082004,2023-03-13 23:15:59.0000000,1,4
63082004,2023-03-13 23:15:59.0000000,1,7
63082004,2023-03-13 23:16:09.0000000,8,4
63082004,2023-03-13 23:16:09.0000000,8,7
63082004,2023-03-13 23:16:13.0000000,10,4
63082004,2023-03-13 23:16:13.0000000,10,7
63082004,2023-03-13 23:16:14.0000000,1,2
63082004,2023-03-13 23:16:14.0000000,1,6
63082004,2023-03-13 23:17:35.0000000,8,2
63082004,2023-03-13 23:17:35.0000000,8,6
63082004,2023-03-13 23:17:40.0000000,10,2
63082004,2023-03-13 23:17:40.0000000,10,6
63082004,2023-03-13 23:17:42.0000000,1,3
63082004,2023-03-13 23:17:42.0000000,1,8
63082004,2023-03-13 23:17:52.0000000,8,3
63082004,2023-03-13 23:17:52.0000000,8,8
63082004,2023-03-13 23:17:55.0000000,10,3
63082004,2023-03-13 23:17:55.0000000,10,8
63082004,2023-03-13 23:17:56.0000000,1,2
63082004,2023-03-13 23:17:56.0000000,1,6
63082004,2023-03-13 23:19:27.0000000,8,2
63082004,2023-03-13 23:19:27.0000000,8,6
63082004,2023-03-13 23:19:31.0000000,10,2
63082004,2023-03-13 23:19:31.0000000,10,6
63082004,2023-03-13 23:19:33.0000000,1,4
63082004,2023-03-13 23:19:33.0000000,1,8
63082004,2023-03-13 23:19:43.0000000,8,4
63082004,2023-03-13 23:19:43.0000000,8,8
63082004,2023-03-13 23:19:47.0000000,10,4
63082004,2023-03-13 23:19:47.0000000,10,8
63082004,2023-03-13 23:19:48.0000000,1,2
63082004,2023-03-13 23:19:48.0000000,1,6
63082004,2023-03-13 23:20:29.0000000,8,2
63082004,2023-03-13 23:20:29.0000000,8,6
63082004,2023-03-13 23:20:33.0000000,10,2
63082004,2023-03-13 23:20:33.0000000,10,6
63082004,2023-03-13 23:20:35.0000000,1,3
63082004,2023-03-13 23:20:35.0000000,1,8
63082004,2023-03-13 23:20:45.0000000,8,3
63082004,2023-03-13 23:20:49.0000000,10,3
63082004,2023-03-13 23:20:50.0000000,1,4
63082004,2023-03-13 23:21:00.0000000,8,4
63082004,2023-03-13 23:21:00.0000000,8,8
63082004,2023-03-13 23:21:03.0000000,10,4
63082004,2023-03-13 23:21:03.0000000,10,8
63082004,2023-03-13 23:21:04.0000000,1,2
63082004,2023-03-13 23:21:04.0000000,1,6
63082004,2023-03-13 23:21:29.0000000,8,2
63082004,2023-03-13 23:21:29.0000000,8,6
63082004,2023-03-13 23:21:34.0000000,10,2
63082004,2023-03-13 23:21:34.0000000,10,6
63082004,2023-03-13 23:21:36.0000000,1,3
63082004,2023-03-13 23:21:36.0000000,1,8
63082004,2023-03-13 23:21:46.0000000,8,3
63082004,2023-03-13 23:21:49.0000000,10,3
63082004,2023-03-13 23:21:50.0000000,1,4
63082004,2023-03-13 23:22:00.0000000,8,4
63082004,2023-03-13 23:22:00.0000000,8,8
63082004,2023-03-13 23:22:04.0000000,10,4
63082004,2023-03-13 23:22:04.0000000,10,8
63082004,2023-03-13 23:22:05.0000000,1,2
63082004,2023-03-13 23:22:05.0000000,1,6
63082004,2023-03-13 23:22:33.0000000,8,2
63082004,2023-03-13 23:22:33.0000000,8,6
63082004,2023-03-13 23:22:37.0000000,10,2
63082004,2023-03-13 23:22:37.0000000,10,6
63082004,2023-03-13 23:22:39.0000000,1,4
63082004,2023-03-13 23:22:39.0000000,1,8
